,rownames.result_mat..ind...1..,colnames.result_mat..ind...2..,result_mat.lower.tri.result_mat..
267,North_day224_13Aug2013_W.png,col61_day10_14apr2021_W.png,1.98E-248
268,North_day261_18Sep2013_E.png,col61_day10_14apr2021_W.png,4.91E-308
269,North_day261_18Sep2013_W.png,col61_day10_14apr2021_W.png,2.54E-289
270,Office_day105_16Apr2013_E.png,col61_day10_14apr2021_W.png,0
271,Office_day105_16Apr2013_W.png,col61_day10_14apr2021_W.png,0
272,Office_day134_14May2013_E.png,col61_day10_14apr2021_W.png,0
273,Office_day134_14May2013_W.png,col61_day10_14apr2021_W.png,0
274,Office_day169_18Jun2013_E.png,col61_day10_14apr2021_W.png,0
275,Office_day169_18Jun2013_W.png,col61_day10_14apr2021_W.png,0
276,Office_day197_16July2013_E.png,col61_day10_14apr2021_W.png,0
277,Office_day197_16July2013_W.png,col61_day10_14apr2021_W.png,0
278,Office_day224_13Aug2013_E.png,col61_day10_14apr2021_W.png,3.41E-57
279,Office_day224_13Aug2013_W.png,col61_day10_14apr2021_W.png,6.44E-76
280,Office_day261_18Sep2013_E.png,col61_day10_14apr2021_W.png,1.84E-48
281,Office_day261_18Sep2013_W.png,col61_day10_14apr2021_W.png,1.98E-65
282,South_day105_16Apr2013_E.png,col61_day10_14apr2021_W.png,0
283,South_day105_16Apr2013_W.png,col61_day10_14apr2021_W.png,0
284,South_day134_14May2013_E.png,col61_day10_14apr2021_W.png,0
285,South_day134_14May2013_W.png,col61_day10_14apr2021_W.png,0
286,South_day169_18Jun2013_E.png,col61_day10_14apr2021_W.png,0
287,South_day169_18Jun2013_W.png,col61_day10_14apr2021_W.png,0
288,South_day197_16July2013_E.png,col61_day10_14apr2021_W.png,6.01277890988797e-321
289,South_day197_16July2013_W.png,col61_day10_14apr2021_W.png,0
290,South_day224_13Aug2013_E.png,col61_day10_14apr2021_W.png,3.74E-44
291,South_day224_13Aug2013_W.png,col61_day10_14apr2021_W.png,2.20E-61
292,South_day261_18Sep2013_E.png,col61_day10_14apr2021_W.png,1.41E-17
